-8832,9304,7744
-3880,8800,13760
7072,-3160,12432
8272,-7456,11000
3568,-9088,12752
48,-12512,13392
-3008,-5536,16576
-3144,744,14992
-4648,5296,15584
-3648,7384,13648
-5520,8936,13880
-4696,7552,16504
3200,1856,15552
9208,-3000,11880
7048,-8824,8528
3696,-15088,10176
-1008,-13816,10784
-2352,-5264,16704
-552,1720,15408
-2600,6032,15104
-3520,7056,12800
-3824,8200,15856
-2176,7104,18312
8968,-2664,16216
8032,-7688,11104
2936,-8560,9712
-1176,-13576,16208
-968,-4304,16592
-784,-584,17296
304,3568,16192
